Bratislava Region | Bratislava
Senec District | Senec
Central European Time | CET
Central European Summer Time | CEST
Slovak car registration plates | Car plate
German language | German
Church of Saint Nicholaus, Senec | Church of Saint Nicholaus
Danubian Lowland | Podunajská rovina
Above mean sea level | above sea level
Motorwaz D1 (Slovakia) | motorway D1
town twinning | twinned
Bratislava Region | Bratislava
Pezinok District | Pezinok
Central European Time | CET
Central European Summer Time | CEST
Slovak car registration plates | Car plate
Saint George and the Dragon | saint killing the dragon
Czechoslovakia: 1948-1968 | Communist government
Germany | German
Gothick architecture | Gothic
Renaissance art | Renaissance
Renaissance architecture | Renaissance
Baroque architecture | Baroque
